Family,Collection,treatment,individual,sex,stripe1,stripe2,orange_total,elytrasize,DBL_2stripe,Meanref_2stripe,DBL_black,logDBL_black,Meanref_black,logref_black,DBL_1stripe,Meanref_1stripe,bodysize_mg,eclosionfluid, ,firststripe_prop,secondstripe_prop
2190,F32,control,13,female,,,,,,,,,,,,,177.4,29,,,
2190,F32,control,15,female,,,,,,,,,,,,,173.6,21.3,,,
3062,F34,control,2,male,13.74,5.46,19.2,44.89,8545.28,5757.5325,1639.5,3.214711421,1505.78,3.177761524,11237.29,7516.4875,130.1,12.3,0.427712185,0.306081533,0.121630653
3062,F34,control,4,female,14.28,5.43,19.71,39.46,9326.21,6163.445,2033.44,3.308231362,1689.455,3.227746628,9478,6245.45,93.1,20.6,0.499493158,0.361885454,0.137607704
3062,F34,control,7,female,13.35,6.35,19.7,49.43,9099.79,6039.185,1541.61,3.187974519,1392.7525,3.143873947,8408.57,5594.25,160.2,19.5,0.398543395,0.270078899,0.128464495
3062,F34,control,8,female,14.28,6.43,20.71,38.59,10949.398,7156.867,1815.12,3.258905342,1614.3025,3.207984919,11345.361,7361.049,98.7,15.1,0.53666753,0.370044053,0.166623478
3062,F34,control,9,male,16,7.81,23.81,43.56,12294.4,8181.45,1629.42,3.212033043,1495.135,3.174680408,10959.92,7156.33,128,3.5,0.546602388,0.367309458,0.179292929
3062,F34,control,13,female,12.82,4.79,17.61,41.69,10020.398,6526.709,1733.829,3.239006263,1479.17725,3.170020219,9026.84,6033.3575,105.6,19,0.422403454,0.307507796,0.114895658
3062,F34,control,17,male,16.53,6.66,23.19,48.65,7545.107,5145.128,1421.695,3.152806436,1274.2485,3.105254131,11956.357,7735.502,166.9,20,0.476670092,0.339773895,0.136896197
3062,F34,control,18,male,13.94,5.68,19.62,45.54,8429.424,5586.805,1579.312,3.198467935,1471.614,3.167793911,8795.022,5950.33175,140.4,13.1,0.43083004,0.306104523,0.124725516
