Family,Collection,treatment,individual,sex,firststripe_(mm),secondstripe_(mm),orange_total,elytrasize,Lum_2stripe,UV_2stripe,SW_2stripe,MW_2stripe,LW_2stripe,DBL_2stripe,Meanref_2stripe,Lum_black,UV_black,SW_black,MW_black,LW_black,DBL_black,Meanref_black,Lum_1stripe,UV_1stripe,SW_1stripe,MW_1stripe,LW_1stripe,DBL_1stripe,Meanref_1stripe,bodysize_mg,eclosionfluid,care_low_high,orange_prop,firststripe_prop,secondstripe_prop
3071,F34,control,13,male,10.49,3.64,14.13,43.52,10080.12,537.55,2000.94,9390.40,14679.50,10080.12,6652.10,1928.60,1155.54,1615.74,2230.42,1813.20,1928.60,1703.73,12228.24,368.48,2059.07,11105.57,18386.18,12228.24,7979.83,115.3,16.4,2,0.32,0.24,0.08
3071,F34,control,15,female,17.74,4.04,21.78,48.84,9111.13,390.78,1850.82,8366.23,13487.39,9111.13,6023.81,1729.79,1087.24,1422.18,1997.15,1667.24,1729.79,1543.45,11168.40,560.28,2063.10,10050.97,16888.42,11168.40,7390.69,163.1,28.5,2,0.45,0.36,0.08
3071,F34,control,17,male,13.70,3.62,17.32,48.09,7265.06,414.92,1666.21,6593.55,10872.08,7265.06,4886.69,1570.25,1058.38,1319.90,1885.11,1412.75,1570.25,1419.04,12196.86,988.29,2714.34,10990.91,18213.58,12196.86,8226.78,151.3,13.4,2,0.36,0.28,0.08
3071,F34,control,19,male,9.93,1.31,11.24,42.61,8988.31,796.93,2051.33,8341.88,13081.88,8988.31,6068.01,2239.19,1839.61,2084.75,2555.88,2040.28,2239.19,2130.13,9635.35,374.88,1847.72,8802.58,14370.07,9635.35,6348.81,126,16.5,2,0.26,0.23,0.03
3077,F34,control,2,male,12.31,3.38,15.69,49.41,9270.55,538.37,2078.56,8525.22,13617.64,9270.55,6189.95,1619.29,1133.79,1599.70,1981.66,1286.51,1619.29,1500.42,11497.70,343.40,2194.97,10457.73,17171.62,11497.70,7541.93,139.2,7.7,2,0.32,0.25,0.07
3077,F34,control,4,male,11.43,3.67,15.10,48.49,7016.54,601.49,1817.04,6510.65,10190.08,7016.54,4779.82,1428.30,867.97,1394.24,1770.32,1134.91,1428.30,1291.86,9602.47,298.71,1791.82,8571.96,14689.71,9602.47,6338.05,137.9,15,2,0.31,0.24,0.08
3077,F34,control,5,male,12.63,4.42,17.05,45.57,8324.13,360.36,1840.37,7687.76,12219.38,8324.13,5526.97,1589.20,961.93,1522.14,1919.08,1325.90,1589.20,1432.26,11195.17,354.31,1987.44,10066.95,16981.44,11195.17,7347.54,129.4,13.8,2,0.37,0.28,0.10
3077,F34,control,7,male,11.31,4.21,15.52,48.57,10205.39,166.81,1900.37,9513.95,14904.21,10205.39,6621.34,1687.26,1082.53,1590.84,1996.22,1472.95,1687.26,1535.64,11187.83,485.61,2191.76,10143.06,16750.59,11187.83,7392.76,134.2,12.8,2,0.32,0.23,0.09
3077,F34,control,10,female,11.21,4.53,15.74,45.75,12270.21,842.22,2695.48,11412.28,17717.07,12270.21,8166.76,2181.50,1663.97,2130.84,2518.94,1892.27,2181.50,2051.51,12353.97,827.77,2834.21,11224.87,18238.18,12353.97,8281.26,118.5,22.2,2,0.34,0.25,0.10
3077,F34,control,11,female,12.77,4.80,17.57,48.78,8643.72,222.39,1709.54,8104.52,12553.05,8643.72,5647.38,1542.84,942.72,1322.44,1877.59,1346.22,1542.84,1372.24,9823.90,94.64,1643.82,9026.52,14654.47,9823.90,6354.86,123.3,17.7,2,0.36,0.26,0.10
3077,F34,control,12,male,11.03,3.75,14.78,42.56,10769.19,576.91,2251.30,10071.10,15541.04,10769.19,7110.09,1817.30,1136.09,1531.24,2101.19,1722.54,1817.30,1622.77,12225.18,385.90,2408.13,11420.77,17703.79,12225.18,7979.65,106.3,12,2,0.35,0.26,0.09
3077,F34,control,20,female,10.97,1.96,12.93,41.85,6926.84,682.59,1988.50,6651.33,9607.73,6926.84,4732.54,1672.07,1085.78,1454.40,1988.81,1495.74,1672.07,1506.18,10673.17,470.66,2198.87,9935.36,15507.19,10673.17,7028.02,94.2,9.3,2,0.31,0.26,0.05
3083,F34,control,14,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.9,13.2,2,NA,NA,NA
3083,F34,control,15,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.7,15.4,2,NA,NA,NA
3083,F34,control,25,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.2,9.1,2,NA,NA,NA
3089,F34,control,4,male,7.71,2.07,9.78,49.29,11157.17,709.97,2504.98,10217.16,16373.70,11157.17,7451.45,2124.76,1750.93,2170.24,2441.63,1836.32,2124.76,2049.78,13977.32,1154.63,3205.48,12768.80,20460.91,13977.32,9397.45,184.4,20.7,2,0.20,0.16,0.04
3089,F34,control,5,male,6.33,1.71,8.04,48.31,9128.92,247.39,1925.41,8587.11,13136.79,9128.92,5974.17,2200.50,872.40,1339.73,2401.34,2478.58,2200.50,1773.01,10910.16,374.14,2085.94,10086.53,16047.40,10910.16,7148.50,191.6,5.1,2,0.17,0.13,0.04
3089,F34,control,7,male,7.03,2.22,9.25,47.67,8496.96,244.29,1618.93,7886.75,12493.70,8496.96,5560.92,1717.98,1135.78,1456.04,2038.05,1559.29,1717.98,1547.29,11260.12,952.66,2349.38,10079.63,17019.14,11260.12,7600.20,170.2,1.7,2,0.19,0.15,0.05
3089,F34,control,8,male,7.27,1.30,8.57,47.47,6115.70,314.90,1504.88,5767.98,8794.44,6115.70,4095.55,1330.62,745.24,1109.99,1728.49,1031.95,1330.62,1153.92,9015.42,498.71,1885.12,8026.30,13778.07,9015.42,6047.05,161.6,0,2,0.18,0.15,0.03
3089,F34,control,9,female,7.93,3.17,11.10,53.19,8829.79,175.36,1560.94,7971.19,13417.13,8829.79,5781.15,2337.61,4387.54,2362.87,2760.95,1948.56,2337.61,2864.98,9343.00,861.04,1995.85,8427.92,14056.79,9343.00,6335.40,190,16.7,2,0.21,0.15,0.06
3089,F34,control,10,female,5.76,1.65,7.41,38.34,10537.47,627.58,2149.66,9843.53,15240.33,10537.47,6965.27,1536.05,912.91,1391.40,1890.13,1273.61,1536.05,1367.01,11056.31,504.27,2322.45,10432.55,15785.46,11056.31,7261.18,96.8,13,2,0.19,0.15,0.04
3089,F34,control,12,male,5.57,1.69,7.26,45.22,8744.96,270.38,1763.01,8076.59,12903.47,8744.96,5753.36,1569.22,1005.21,1348.45,1903.51,1372.02,1569.22,1407.30,9334.05,355.25,1813.21,8541.86,13909.13,9334.05,6154.86,120.8,7.7,2,0.16,0.12,0.04
3089,F34,control,13,female,7.46,2.52,9.98,52.59,9166.82,140.56,1523.14,8332.37,13856.51,9166.82,5963.14,1439.64,1225.56,1380.29,1807.29,1118.88,1439.64,1383.01,10932.86,1064.24,2266.78,9798.32,16521.92,10932.86,7412.81,171.8,1,2,0.19,0.14,0.05
3089,F34,control,14,female,5.86,1.35,7.21,51.50,10684.33,14.31,1873.15,9826.35,15859.69,10684.33,6893.38,1865.09,1683.84,1967.72,2221.98,1494.53,1865.09,1842.02,12012.20,937.71,2616.47,10928.15,17788.69,12012.20,8067.75,143.1,12,2,0.14,0.11,0.03
3089,F34,control,15,female,6.24,1.92,8.16,49.68,8045.14,267.36,1563.57,7382.21,11978.60,8045.14,5297.94,1389.34,1025.19,1294.52,1778.09,1049.91,1389.34,1286.93,9427.05,551.06,1736.71,8409.97,14439.17,9427.05,6284.23,149.8,8.3,2,0.16,0.13,0.04
3092,F34,control,1,male,13.57,3.87,17.44,46.60,9894.55,535.48,1972.44,9043.45,14706.11,9894.55,6564.37,1565.41,1048.29,1474.66,1892.61,1320.19,1565.41,1433.94,13065.60,396.61,2474.69,12046.18,19202.73,13065.60,8530.05,170.1,8.5,2,0.37,0.29,0.08
3092,F34,control,7,male,15.51,7.16,22.67,50.14,9949.94,310.61,2020.97,9330.19,14395.42,9949.94,6514.30,1653.11,1409.17,1547.24,1990.77,1406.70,1653.11,1588.47,8968.07,181.44,1669.75,8088.08,13608.21,8968.07,5886.87,152,18.2,2,0.45,0.31,0.14
3092,F34,control,8,female,12.91,4.86,17.77,45.56,9161.66,307.50,1627.41,8361.82,13752.08,9161.66,6012.20,1338.92,965.61,1277.59,1703.21,1027.18,1338.92,1243.40,14075.62,854.11,3136.60,12867.66,20653.88,14075.62,9378.06,158.8,19.9,2,0.39,0.28,0.11
3092,F34,control,11,male,9.84,3.32,13.16,35.50,10914.56,354.41,2038.87,10185.91,15883.64,10914.56,7115.71,2190.26,1285.19,2047.41,2474.42,2024.93,2190.26,1957.99,16549.73,1845.62,4463.26,15503.18,23207.14,16549.73,11254.80,106.4,13.1,2,0.37,0.28,0.09
3092,F34,control,17,female,11.06,4.01,15.07,37.02,9360.24,479.82,1952.38,8700.31,13652.27,9360.24,6196.20,1466.56,838.16,1289.76,1798.93,1253.40,1466.56,1295.06,11140.99,294.99,2027.03,10107.32,16743.15,11140.99,7293.12,128.1,23.3,2,0.41,0.30,0.11
3092,F34,control,18,female,13.20,4.70,17.90,46.60,10078.87,510.47,1941.38,9113.38,15169.28,10078.87,6683.63,1717.63,916.38,1273.76,2014.45,1671.82,1717.63,1469.10,11355.25,403.39,1982.08,10126.34,17367.99,11355.25,7469.95,150.3,7.4,2,0.38,0.28,0.10
3092,F34,control,22,male,10.03,4.58,14.61,41.30,9645.92,520.79,1914.04,8859.76,14292.48,9645.92,6396.77,1836.34,1125.76,1544.22,2127.56,1730.71,1836.34,1632.06,11102.15,554.94,2076.18,10064.51,16650.32,11102.15,7336.49,148.2,10,2,0.35,0.24,0.11
3092,F34,control,23,male,13.76,3.74,17.50,40.62,10202.86,222.56,1874.67,9390.85,15116.55,10202.86,6651.16,1526.63,1140.82,1492.04,1901.14,1183.02,1526.63,1429.26,13706.39,754.96,2689.67,12377.71,20526.22,13706.39,9087.14,180.2,24.5,2,0.43,0.34,0.09
3092,F34,control,24,female,15.10,5.74,20.84,49.02,10747.30,411.42,2079.87,9911.01,15826.28,10747.30,7057.15,1508.36,1071.71,1455.11,1894.99,1155.75,1508.36,1394.39,11015.32,210.07,1888.55,9941.96,16678.40,11015.32,7179.75,163.1,13.1,2,0.43,0.31,0.12
3092,F34,control,25,female,11.66,4.14,15.80,42.07,12218.97,851.42,2582.98,11280.93,17820.89,12218.97,8134.06,3725.31,2935.56,3783.91,4090.70,3319.31,3725.31,3532.37,13088.90,1832.45,3546.71,11898.62,19055.23,13088.90,9083.25,149.4,16.8,2,0.38,0.28,0.10
40116,F34,control,6,female,21.94,10.30,32.24,66.88,8519.10,341.83,1486.42,7417.26,13425.70,8519.10,5667.80,2239.61,968.41,1489.59,2456.18,2449.27,2239.61,1840.86,8874.20,442.37,1646.30,7476.40,14367.85,8874.20,5983.23,249.7,11.1,2,0.48,0.33,0.15
40116,F34,control,8,female,18.25,8.35,26.60,60.84,9854.81,706.65,2065.95,8604.84,15300.30,9854.81,6669.44,2091.79,1484.94,1916.35,2440.21,1846.60,2091.79,1922.03,9629.38,688.24,1995.92,7947.22,15748.58,9629.38,6594.99,226.6,14.7,2,0.44,0.30,0.14
40116,F34,control,9,male,17.71,7.25,24.96,61.89,7223.82,518.50,1353.45,6299.76,11384.69,7223.82,4889.10,1466.16,1143.24,1353.47,1853.58,1141.60,1466.16,1372.97,7922.17,578.96,1490.99,6660.19,12863.79,7922.17,5398.48,238.4,15.3,2,0.40,0.29,0.12
40116,F34,control,10,male,20.11,7.69,27.80,69.23,8961.94,878.10,1856.45,7617.10,14297.15,8961.94,6162.20,1904.84,1314.95,1688.73,2222.56,1729.68,1904.84,1738.98,11548.12,1342.66,2659.26,9409.72,18919.36,11548.12,8082.75,276.4,12.9,2,0.40,0.29,0.11
40116,F34,control,12,male,18.74,8.73,27.47,61.05,8125.83,467.10,1506.56,7049.96,12828.23,8125.83,5462.96,1618.82,1199.89,1494.41,1952.09,1379.41,1618.82,1506.45,9151.78,677.37,1780.75,7726.11,14734.68,9151.78,6229.73,243.8,6.2,2,0.45,0.31,0.14
40116,F34,control,13,male,16.29,6.92,23.21,53.99,7218.33,383.23,1348.39,6436.63,11122.30,7218.33,4822.64,1526.90,1061.86,1449.88,1883.27,1235.75,1526.90,1407.69,8991.21,624.93,1584.25,7542.51,14625.16,8991.21,6094.21,193,16.5,2,0.43,0.30,0.13
40116,F34,control,14,female,16.21,9.22,25.43,59.81,7517.41,648.89,1673.15,6611.71,11612.28,7517.41,5136.51,1547.17,1044.67,1406.91,1890.05,1297.26,1547.17,1409.72,6872.38,482.09,1344.86,5789.77,11155.92,6872.38,4693.16,225.1,30.3,2,0.43,0.27,0.15
